category_en,revenue,pct,cum_pct,rank
health_beauty,1258681.34,9.260699940214003,9.260699940214003,1
watches_gifts,1205005.68,8.865783319496524,18.126483259710525,2
bed_bath_table,1036988.68,7.629604651864147,25.756087911574674,3
sports_leisure,988048.97,7.269532602594637,33.02562051416931,4
computers_accessories,911954.32,6.709669118239173,39.73528963240848,5
furniture_decor,729762.49,5.369199679653169,45.10448931206165,6
cool_stuff,635290.85,4.674128192456959,49.778617504518614,7
housewares,632248.66,4.6517453955918535,54.43036290011047,8
auto,592720.11,4.360915596985522,58.79127849709599,9
garden_tools,485256.46,3.5702558918609686,62.361534388956954,10
toys,483946.6,3.5606186468822756,65.92215303583923,11
baby,411764.89,3.029544469297706,68.95169750513693,12
perfumery,399124.87,2.936546004365904,71.88824350950284,13
telephony,323667.53,2.3813715040219905,74.26961501352483,14
office_furniture,273960.7,2.015655398618197,76.28527041214302,15
stationery,230943.23,1.6991560042145606,77.98442641635758,16
computers,222963.13,1.6404427229062812,79.62486913926386,17
pet_shop,214315.41,1.5768174529177807,81.20168659218164,18
musical_instruments,191498.88,1.4089457038959905,82.61063229607764,19
small_appliances,190648.58,1.4026896540850318,84.01332195016268,20
unknown,179535.28,1.3209239733086884,85.33424592347137,21
electronics,160246.74,1.179009276118679,86.51325519959005,22
consoles_games,157465.22,1.1585443488339828,87.67179954842403,23
fashion_bags_accessories,152823.54,1.1243933653146017,88.79619291373864,24
construction_tools_construction,144677.59,1.0644598489585186,89.86065276269716,25
luggage_accessories,140429.98,1.0332082204303226,90.89386098312748,26
home_appliances_2,113317.74,0.833730948965356,91.72759193209284,27
home_construction,83088.12,0.6113176730787904,92.33890960517162,28
home_appliances,80171.53,0.58985897342203,92.92876857859365,29
agro_industry_and_commerce,72530.47,0.5336401659793364,93.46240874457298,30
furniture_living_room,68916.56,0.5070509610254131,93.9694597055984,31
fixed_telephony,59583.0,0.43837964940178653,94.40783935500018,32
home_confort,58572.04,0.4309415497700253,94.8387809047702,33
air_conditioning,55024.96,0.40484404399153,95.24362494876173,34
audio,50688.5,0.37293870497797116,95.6165636537397,35
small_appliances_home_oven_and_coffee,47445.71,0.3490800012657778,95.96564365500548,36
books_general_interest,46856.88,0.34474770700470914,96.3103913620102,37
kitchen_dining_laundry_garden_furniture,46328.37,0.34085921484242565,96.65125057685262,38
construction_tools_lights,41080.0,0.30224453279333685,96.95349510964596,39
construction_tools_safety,40544.52,0.29830475912195964,97.25179986876792,40
industry_commerce_and_business,39669.61,0.2918676421748755,97.5436675109428,41
food,29393.41,0.21626089271307197,97.75992840365586,42
market_place,28378.47,0.2087935103831482,97.96872191403901,43
costruction_tools_garden,25715.89,0.18920367961087742,98.15792559364989,44
art,24202.64,0.1780700004665367,98.33599559411643,45
fashion_shoes,23562.77,0.17336218135264983,98.50935777546907,46
drinks,22428.7,0.16501830459254907,98.67437608006162,47
signaling_and_security,21509.23,0.15825333914543394,98.83262941920705,48
furniture_bedroom,20028.78,0.14736098474976947,98.97999040395682,49
books_technical,19096.06,0.14049853293314335,99.12048893688996,50
costruction_tools_tools,15903.95,0.1170127053875022,99.23750164227746,51
food_drink,15179.48,0.11168244500111492,99.34918408727857,52
fashion_male_clothing,10797.82,0.0794445487119413,99.42862863599052,53
fashion_underwear_beach,9541.55,0.0702015901137844,99.4988302261043,54
christmas_supplies,8800.82,0.064751697397718,99.56358192350203,55
tablets_printing_image,7528.41,0.055389989365303934,99.61897191286734,56
cine_photo,6933.46,0.05101266743771396,99.66998458030506,57
music,6034.35,0.04439749991386253,99.71438208021891,58
dvds_blu_ray,5999.39,0.04414028304759049,99.75852236326651,59
books_imported,4639.85,0.03413751936419582,99.7926598826307,60
party_supplies,4485.18,0.03299954073987387,99.82565942337058,61
furniture_mattress_and_upholstery,4368.08,0.03213798195725217,99.85779740532783,62
portable_kitchen_and_food_preparers,3968.53,0.029198308075130023,99.88699571340295,63
fashio_female_clothing,2803.64,0.02062767434081575,99.90762338774377,64
fashion_sport,2119.51,0.015594213965452911,99.92321760170923,65
la_cuisine,2054.99,0.015119510526898229,99.93833711223613,66
arts_and_craftmanship,1814.01,0.013346509370312586,99.95168362160643,67
diapers_and_hygiene,1567.59,0.011533483621263559,99.9632171052277,68
gaming_pc,1545.95,0.011374268146832015,99.97459137337454,69
flowers,1110.04,0.008167076951847997,99.98275845032639,70
home_comfort_2,760.27,0.005593657520613199,99.98835210784699,71
cds_dvds_musicals,730.0,0.005370947150417135,99.9937230549974,72
fashion_childrens_clothes,569.85,0.004192649635157815,99.99791570463256,73
security_and_services,283.29,0.002084295367454343,100.00000000000001,74
